dataset_id,sample_id,gene_id,expression_zscore
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,6279,-0.8578
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,6280,1.1066
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,6615,-0.0592
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,6696,-0.0433
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,201633,0.4929
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,7153,0.209
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,7422,-0.5334
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,7431,-0.8024
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,6935,-1.8073
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,29126,0.4306
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,1493,0.8398
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,3576,-0.5867
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,1956,-1.1105
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,4072,0.698
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,238,0.9923
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,84868,-0.3598
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,3091,1.5586
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,3105,-1.5797
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,3106,-1.4599
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,3553,0.0848
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,3716,-1.8197
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,3717,1.2969
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,3845,0.8451
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,3902,-1.0354
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,4233,-1.6029
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,4288,0.4407
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,4318,0.8324
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,4609,-0.0648
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,5133,-1.0374
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,567,-1.5562
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,6279,-0.7845
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,6280,-0.9939
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,6615,-0.1785
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,6696,0.8472
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,201633,-1.1781
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,7153,1.0948
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,7422,-0.5207
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,7431,-0.7794
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,6935,-0.9159
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,29126,-0.1549
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,1493,-0.0135
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,3576,1.3854
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,1956,0.548
luad_tcga_pan_can_atlas_2018,TCGA-05-4390-01,4072,0.0878
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,238,-1.2188
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,84868,0.2173
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,3091,2.0632
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,3105,0.5708
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,3106,-0.3381
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,3553,-0.7602
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,3716,0.3911
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,3717,-1.2951
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,3845,1.5036
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,3902,-0.1841
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,4233,0.6349
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,4288,-0.0538
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,4318,-1.0842
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,4609,2.1288
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,5133,-0.1747
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,567,-0.1086
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,6279,1.7278
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,6280,2.3819
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,6615,1.8673
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,6696,0.9131
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,201633,-0.576
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,7153,0.7384
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,7422,0.5732
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,7431,-1.4865
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,6935,-0.769
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,29126,-0.08
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,1493,0.0202
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,3576,0.0307
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,1956,1.4052
